id,console-name,product-name,loose-price,cib-price,new-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,gamestop-price,gamestop-trade-price,upc
16644,3DO,Toontime in the Classroom,$22.94 ,$43.76 ,$87.62 ,$7.20 ,$23.99 ,$18.40 ,$45.99 ,,,
16645,3DO,Total Eclipse,$7.18 ,$14.24 ,$23.49 ,$1.50 ,$7.49 ,$3.00 ,$14.99 ,,,7.6598E+11
16647,3DO,Trip'd,$17.17 ,$33.37 ,$79.99 ,$3.60 ,$17.99 ,$10.50 ,$34.99 ,,,37988830251
16648,3DO,Twisted: The Game Show,$8.00 ,$15.61 ,$24.99 ,$1.68 ,$8.39 ,$3.20 ,$15.99 ,,,14633073089
16651,3DO,VR Stalker,$7.97 ,$13.93 ,$27.87 ,$1.68 ,$8.39 ,$3.00 ,$14.99 ,,,
35952,3DO,Virtual Vivid Sampler,$22.16 ,$55.88 ,$111.73 ,$6.90 ,$22.99 ,$23.60 ,$58.99 ,,,
16650,3DO,Virtuoso,$38.39 ,$72.10 ,$149.99 ,$16.00 ,$39.99 ,$30.40 ,$75.99 ,,,
16652,3DO,Waialae Country Club,$5.06 ,$6.97 ,$11.57 ,$1.06 ,$5.29 ,$1.50 ,$7.29 ,,,37988830060
16653,3DO,Way of the Warrior,$21.99 ,$34.99 ,$99.00 ,$6.90 ,$22.99 ,$14.80 ,$36.99 ,,,7.8567E+11
16654,3DO,Who Shot Johnny Rock?,$11.12 ,$24.46 ,$34.99 ,$2.40 ,$11.99 ,$7.80 ,$25.99 ,,,6.2472E+11
16655,3DO,Wicked 18,$5.24 ,$8.22 ,$17.06 ,$1.10 ,$5.49 ,$1.70 ,$8.59 ,,,37988830206
16656,3DO,Wing Commander III: Heart of the Tiger,$14.67 ,$31.31 ,$39.99 ,$3.00 ,$14.99 ,$9.90 ,$32.99 ,,,17814100956
16657,3DO,Winning Post,,,,,,,,,,
16658,3DO,Wolfenstein 3D,$44.11 ,$65.53 ,$131.04 ,$18.40 ,$45.99 ,$27.60 ,$68.99 ,,,40421292479
35953,3DO,Woody Woodpecker and Friends Vol. 1,$40.05 ,$88.10 ,$176.20 ,$16.80 ,$41.99 ,$37.20 ,$92.99 ,,,
35954,3DO,Woody Woodpecker and Friends Vol. 2,,,,,,,,,,
35955,3DO,Woody Woodpecker and Friends Vol. 3,$59.95 ,$131.89 ,$269.78 ,$25.20 ,$62.99 ,$55.20 ,$137.99 ,,,
16659,3DO,World Cup Golf: Hyatt Dorado Beach,$6.19 ,$7.10 ,$14.99 ,$1.30 ,$6.49 ,$1.50 ,$7.49 ,,,7.43176E+11
16661,3DO,Zhadnost: The People's Party,$13.99 ,$23.88 ,$27.54 ,$3.00 ,$14.99 ,$7.50 ,$24.99 ,,,7.90561E+11
36338,Amiibo,Animal Crossing 3 Pack,$9.97 ,,$13.11 ,$2.00 ,$9.99 ,$2.40 ,$11.99 ,,,
38609,Amiibo,Bayonetta,$23.42 ,,$26.28 ,$7.50 ,$24.99 ,$9.00 ,$29.99 ,,,
38610,Amiibo,Bayonetta - Player 2,$36.18 ,,$43.51 ,$15.20 ,$37.99 ,$18.00 ,$44.99 ,,,
37492,Amiibo,Blathers,$4.99 ,,$6.50 ,$1.04 ,$5.19 ,$1.40 ,$6.99 ,,,
37401,Amiibo,Bokoblin,$17.66 ,,$25.34 ,$3.80 ,$18.99 ,$6.90 ,$22.99 ,,,
37514,Amiibo,Boo,$21.70 ,,$30.17 ,$6.90 ,$22.99 ,$8.10 ,$26.99 ,,,
35419,Amiibo,Bowser,$9.50 ,,$17.00 ,$2.00 ,$9.99 ,$2.40 ,$11.99 ,,,45496891879
38593,Amiibo,Bowser - Dark Hammer Slam,$14.61 ,,$18.99 ,$3.00 ,$14.99 ,$3.60 ,$17.99 ,,,
38592,Amiibo,Bowser - Hammer Slam,$5.02 ,,$6.54 ,$1.06 ,$5.29 ,$1.40 ,$6.99 ,,,
35587,Amiibo,Bowser - Super Mario,$12.00 ,,$15.43 ,$2.60 ,$12.99 ,$3.20 ,$15.99 ,,,45496892043
38615,Amiibo,Bowser - Wedding,$18.00 ,,$18.07 ,$3.80 ,$18.99 ,$6.90 ,$22.99 ,,,
35687,Amiibo,Bowser Jr,$27.99 ,,$35.51 ,$8.70 ,$28.99 ,$10.20 ,$33.99 ,,,
37508,Amiibo,Callie,$20.45 ,,$37.49 ,$6.30 ,$20.99 ,$7.50 ,$24.99 ,,,
38600,Amiibo,Callie and Marie 2 Pack,$36.36 ,,$47.34 ,$15.20 ,$37.99 ,$18.00 ,$44.99 ,,,
